	<yagoTheme__infoboxPatterns>	<hasGloss>	"This file is part of the ontology YAGO3. It is licensed under a Creative-Commons Attribution License by the YAGO team at the Max Planck Institute for Informatics/Germany. See http://yago-knowledge.org for all details. This file was generated on 2017-10-11 T 19:57:40.0208. The Wikipedia infobox patterns used in YAGO INTERNAL"	
	"weather"	rdf:type	<_yagoNonConceptualInfobox>	
	"family name"	rdf:type	<_yagoNonConceptualInfobox>	
	"surname"	rdf:type	<_yagoNonConceptualInfobox>	
	"given name"	rdf:type	<_yagoNonConceptualInfobox>	
	"baseball biography"	rdf:type	<_yagoNonConceptualInfobox>	
	<infobox/en/populationdensitykm>	<_hasPredefinedUnit>	</km2>	
	<infobox/en/area>	<_hasPredefinedUnit>	<km2>	
	<infobox/en/areakm>	<_hasPredefinedUnit>	<km2>	
	<infobox/en/areatotalkm>	<_hasPredefinedUnit>	<km2>	
	<infobox/en/unemployment>	<_hasPredefinedUnit>	<percent>	
	<infobox/en/clubs>	<_infoboxPattern>	<playsFor>	
	<infobox/en/pages>	<_infoboxPattern>	<hasPages>	
	<infobox/en/latitude>	<_infoboxPattern>	<hasLatitude>	
	<infobox/en/longitude>	<_infoboxPattern>	<hasLongitude>	
	<infobox/en/Nickname>	<_infoboxPattern>	rdfs:label	
	<infobox/en/nativename>	<_infoboxPattern>	rdfs:label	
	<infobox/en/commonname>	<_infoboxPattern>	rdfs:label	
	<infobox/en/alias>	<_infoboxPattern>	rdfs:label	
	<infobox/en/alternatename>	<_infoboxPattern>	rdfs:label	
	<infobox/en/abbreviation>	<_infoboxPattern>	rdfs:label	
	<infobox/en/companyname>	<_infoboxPattern>	rdfs:label	
	<infobox/en/fullname>	<_infoboxPattern>	rdfs:label	
	<infobox/en/binomial>	<_infoboxPattern>	rdfs:label	
	<infoBoxId0>	rdfs:comment	"Added by Fabian 2011-05-26"	
	<infobox/en/playername>	<_infoboxPattern>	rdfs:label	
